X Y Z DENSITY NUM_HITS NUM_RAYS VOX_WIDTH
37.41770172 -62.00000000 -2.74475002 4.939050 9.253220 10.000000 0.500000
37.91770172 -62.00000000 -2.74475002 1.481640 2.408760 10.000000 0.500000
38.41770172 -62.00000000 -2.74475002 1.185480 1.566270 10.000000 0.500000
38.91770172 -62.00000000 -2.74475002 1.362440 2.352940 10.000000 0.500000
39.41770172 -62.00000000 -2.74475002 1.851180 3.768120 10.000000 0.500000
39.91770172 -62.00000000 -2.74475002 2.398900 3.676470 10.000000 0.500000
40.41770172 -62.00000000 -2.74475002 0.889087 1.559630 10.000000 0.500000
40.91770172 -62.00000000 -2.74475002 3.031710 5.103830 10.000000 0.500000
41.41770172 -62.00000000 -2.74475002 6.352290 10.000000 11.000000 0.500000
41.91770172 -62.00000000 -2.74475002 9.889800 10.000000 10.000000 0.500000
42.41770172 -62.00000000 -2.74475002 12.870400 12.000000 12.000000 0.500000
42.91770172 -62.00000000 -2.74475002 11.982100 9.405260 10.000000 0.500000
43.41770172 -62.00000000 -2.74475002 12.980900 9.328210 10.000000 0.500000
43.91770172 -62.00000000 -2.74475002 10.907800 9.428570 10.000000 0.500000
44.41770172 -62.00000000 -2.74475002 5.557140 6.700000 10.000000 0.500000
44.91770172 -62.00000000 -2.74475002 3.351480 4.406780 10.000000 0.500000
45.41770172 -62.00000000 -2.74475002 1.932850 3.089430 10.000000 0.500000
45.91770172 -62.00000000 -2.74475002 1.919880 3.150680 10.000000 0.500000
46.41770172 -62.00000000 -2.74475002 2.299900 4.032260 10.000000 0.500000
46.91770172 -62.00000000 -2.74475002 1.762840 2.956520 10.000000 0.500000
47.41770172 -62.00000000 -2.74475002 2.378100 3.362830 10.000000 0.500000
47.91770172 -62.00000000 -2.74475002 2.332800 3.418800 10.000000 0.500000
48.41770172 -62.00000000 -2.74475002 1.117200 1.956520 10.000000 0.500000
48.91770172 -62.00000000 -2.74475002 2.314940 3.288140 10.000000 0.500000
49.41770172 -62.00000000 -2.74475002 2.170120 3.627450 10.000000 0.500000
49.91770172 -62.00000000 -2.74475002 2.078550 3.100000 10.000000 0.500000
50.41770172 -62.00000000 -2.74475002 1.555480 2.407410 10.000000 0.500000
50.91770172 -62.00000000 -2.74475002 1.955290 3.277310 10.000000 0.500000
51.41770172 -62.00000000 -2.74475002 2.094220 3.168320 10.000000 0.500000
51.91770172 -62.00000000 -2.74475002 0.610099 1.166670 10.000000 0.500000
52.41770172 -62.00000000 -2.74475002 1.979650 2.656250 10.000000 0.500000
52.91770172 -62.00000000 -2.74475002 1.177160 1.833330 10.000000 0.500000
53.41770172 -62.00000000 -2.74475002 1.400790 2.037040 10.000000 0.500000
53.91770172 -62.00000000 -2.74475002 3.182530 4.418600 10.000000 0.500000
54.41770172 -62.00000000 -2.74475002 4.360050 5.653540 10.000000 0.500000
54.91770172 -62.00000000 -2.74475002 5.134000 5.640350 10.000000 0.500000
55.41770172 -62.00000000 -2.74475002 6.002750 7.540000 10.000000 0.500000
55.91770172 -62.00000000 -2.74475002 5.182450 7.536230 10.000000 0.500000
56.41770172 -62.00000000 -2.74475002 8.229450 10.000000 10.000000 0.500000
56.91770172 -62.00000000 -2.74475002 10.633500 22.000000 22.000000 0.500000
57.41770172 -62.00000000 -2.74475002 6.645440 26.000000 26.000000 0.500000
57.91770172 -62.00000000 -2.74475002 7.082290 25.000000 25.000000 0.500000
