//X Y Z R G B Nx Ny Nz
58.12599945 -51.43624878 0.70775002 71 56 255 0.000000 0.000000 0.000000
58.18775177 -51.38925171 0.70599997 71 56 255 0.000000 0.000000 0.000000
58.09500122 -51.46799850 0.69849998 71 56 255 0.000000 0.000000 0.000000
58.10350037 -51.57749939 0.74075001 70 56 255 0.000000 0.000000 0.000000
58.09949875 -51.57275009 0.82525003 70 56 255 0.000000 0.000000 0.000000
58.11375046 -51.48300171 0.82450002 71 56 255 0.000000 0.000000 0.000000
58.24774933 -51.37974930 0.79949999 71 56 255 0.000000 0.000000 0.000000
58.18000031 -51.38100052 0.82225001 71 56 255 0.000000 0.000000 0.000000
58.11975098 -51.58724976 1.06799996 70 56 255 0.000000 0.000000 0.000000
58.10100174 -51.57324982 0.87099999 70 56 255 0.000000 0.000000 0.000000
58.09999847 -51.57199860 0.91275001 70 56 255 0.000000 0.000000 0.000000
58.10200119 -51.51774979 0.90950000 71 56 255 0.000000 0.000000 0.000000
58.23699951 -51.36999893 0.84224999 71 56 255 0.000000 0.000000 0.000000
58.12300110 -51.43099976 0.91700000 71 56 255 0.000000 0.000000 0.000000
58.09875107 -51.46799850 0.93875003 71 56 255 0.000000 0.000000 0.000000
58.12075043 -51.48649979 1.02775002 71 56 255 0.000000 0.000000 0.000000
58.09275055 -51.50775146 1.03674996 71 56 255 0.000000 0.000000 0.000000
58.09500122 -51.46324921 1.07075000 71 56 255 0.000000 0.000000 0.000000
58.12799835 -51.37850189 0.98150003 71 56 255 0.000000 0.000000 0.000000
58.32099915 -51.42174911 2.46875000 71 56 255 0.000000 0.000000 0.000000
58.31724930 -51.41799927 2.51399994 71 56 255 0.000000 0.000000 0.000000
58.35475159 -51.44025040 3.24349999 71 56 255 0.000000 0.000000 0.000000
58.21400070 -51.69250107 3.63899994 70 56 255 0.000000 0.000000 0.000000
58.23799896 -51.71300125 3.68575001 70 56 255 0.000000 0.000000 0.000000
58.12149811 -51.58700180 1.20025003 70 56 255 0.000000 0.000000 0.000000
58.10250092 -51.57149887 1.11025000 70 56 255 0.000000 0.000000 0.000000
